Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    18.37500    	    1830.312    	   0.1527778    
    18.62500    	    1830.312    	   0.1222222    
    18.37500    	    1830.438    	   0.1166667    
    18.62500    	    1830.438    	   3.7037037E-02
    18.37500    	    1830.562    	   4.4444453E-02
    18.62500    	    1830.562    	   0.2148148    
    18.37500    	    1830.688    	   0.9111111    
    18.62500    	    1830.688    	   0.5888889    
    18.37500    	    1830.812    	    2.075000    
    18.62500    	    1830.812    	    5.611111    
    18.37500    	    1830.938    	    1.133333    
    18.62500    	    1830.938    	    1.396296    
    18.37500    	    1831.062    	    1.055555    
    18.62500    	    1831.062    	    1.500000    
    18.37500    	    1831.188    	   0.7305556    
    18.62500    	    1831.188    	    1.574074    
    18.37500    	    1831.312    	   0.0000000E+00
    18.62500    	    1831.312    	   0.0000000E+00
