X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -78.37500    	    1004.188    	    2.766667    
   -78.12500    	    1004.188    	    4.422222    
   -78.37500    	    1004.312    	    2.725926    
   -78.12500    	    1004.312    	    2.930556    
   -78.37500    	    1004.438    	    2.185185    
   -78.12500    	    1004.438    	    1.763889    
   -78.37500    	    1004.562    	   0.0000000E+00
   -78.12500    	    1004.562    	   0.0000000E+00
   -78.37500    	    1004.688    	   4.4444446E-02
   -78.12500    	    1004.688    	   0.1055556    
   -78.37500    	    1004.812    	   0.1296296    
   -78.12500    	    1004.812    	   0.1694444    
   -78.37500    	    1004.938    	   0.0000000E+00
   -78.12500    	    1004.938    	   0.0000000E+00
   -78.37500    	    1005.062    	   0.0000000E+00
   -78.12500    	    1005.062    	   0.0000000E+00
   -78.37500    	    1005.188    	   0.0000000E+00
   -78.12500    	    1005.188    	   0.0000000E+00
