X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -83.87500    	    10.87500    	    5101.188    	   0.9145834    
   -83.62500    	    10.87500    	    5101.188    	    1.294445    
   -83.87500    	    11.12500    	    5101.188    	   0.6861112    
   -83.62500    	    11.12500    	    5101.188    	    1.118518    
   -83.87500    	    10.87500    	    5101.312    	    3.897917    
   -83.62500    	    10.87500    	    5101.312    	    6.755556    
   -83.87500    	    11.12500    	    5101.312    	    4.144445    
   -83.62500    	    11.12500    	    5101.312    	    8.092593    
   -83.87500    	    10.87500    	    5101.438    	    8.029167    
   -83.62500    	    10.87500    	    5101.438    	    7.925001    
   -83.87500    	    11.12500    	    5101.438    	    8.283333    
   -83.62500    	    11.12500    	    5101.438    	    8.607408    
   -83.87500    	    10.87500    	    5101.562    	    6.977084    
   -83.62500    	    10.87500    	    5101.562    	    10.12222    
   -83.87500    	    11.12500    	    5101.562    	    6.702778    
   -83.62500    	    11.12500    	    5101.562    	    11.08148    
   -83.87500    	    10.87500    	    5101.688    	    12.19792    
   -83.62500    	    10.87500    	    5101.688    	    9.758334    
   -83.87500    	    11.12500    	    5101.688    	    10.73333    
   -83.62500    	    11.12500    	    5101.688    	    6.229630    
   -83.87500    	    10.87500    	    5101.812    	    3.077084    
   -83.62500    	    10.87500    	    5101.812    	    1.077778    
   -83.87500    	    11.12500    	    5101.812    	    3.494444    
   -83.62500    	    11.12500    	    5101.812    	    1.366667    
   -83.87500    	    10.87500    	    5101.938    	   0.3562500    
   -83.62500    	    10.87500    	    5101.938    	   0.2722222    
   -83.87500    	    11.12500    	    5101.938    	   0.6861112    
   -83.62500    	    11.12500    	    5101.938    	   0.5481481    
   -83.87500    	    10.87500    	    5102.062    	   2.0833334E-03
   -83.62500    	    10.87500    	    5102.062    	   3.3333339E-02
   -83.87500    	    11.12500    	    5102.062    	   6.3888900E-02
   -83.62500    	    11.12500    	    5102.062    	   2.5925927E-02
   -83.87500    	    10.87500    	    5102.188    	   0.0000000E+00
   -83.62500    	    10.87500    	    5102.188    	   0.0000000E+00
   -83.87500    	    11.12500    	    5102.188    	   5.0000001E-02
   -83.62500    	    11.12500    	    5102.188    	   9.2592597E-02
