X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -78.12500    	    20.62500    	    2163.562    	    1.175000    
   -77.87500    	    20.62500    	    2163.562    	   0.3083333    
   -78.12500    	    20.87500    	    2163.562    	    4.308334    
   -77.87500    	    20.87500    	    2163.562    	    2.077778    
   -78.12500    	    20.62500    	    2163.688    	    4.937500    
   -77.87500    	    20.62500    	    2163.688    	    2.791665    
   -78.12500    	    20.87500    	    2163.688    	    4.650001    
   -77.87500    	    20.87500    	    2163.688    	    3.144444    
   -78.12500    	    20.62500    	    2163.812    	    6.460415    
   -77.87500    	    20.62500    	    2163.812    	    6.744443    
   -78.12500    	    20.87500    	    2163.812    	    4.475000    
   -77.87500    	    20.87500    	    2163.812    	    9.299999    
   -78.12500    	    20.62500    	    2163.938    	    5.389582    
   -77.87500    	    20.62500    	    2163.938    	    7.205554    
   -78.12500    	    20.87500    	    2163.938    	    5.872222    
   -77.87500    	    20.87500    	    2163.938    	    12.95185    
   -78.12500    	    20.62500    	    2164.062    	   0.8645835    
   -77.87500    	    20.62500    	    2164.062    	    2.355556    
   -78.12500    	    20.87500    	    2164.062    	    3.986112    
   -77.87500    	    20.87500    	    2164.062    	    6.988890    
   -78.12500    	    20.62500    	    2164.188    	   0.4604166    
   -77.87500    	    20.62500    	    2164.188    	   0.6527777    
   -78.12500    	    20.87500    	    2164.188    	    1.186111    
   -77.87500    	    20.87500    	    2164.188    	    2.374074    
   -78.12500    	    20.62500    	    2164.312    	   1.4583334E-02
   -77.87500    	    20.62500    	    2164.312    	   2.5000000E-02
   -78.12500    	    20.87500    	    2164.312    	   4.4444449E-02
   -77.87500    	    20.87500    	    2164.312    	   9.2592590E-02
   -78.12500    	    20.62500    	    2164.438    	   1.6666668E-02
   -77.87500    	    20.62500    	    2164.438    	   2.2222223E-02
   -78.12500    	    20.87500    	    2164.438    	   0.0000000E+00
   -77.87500    	    20.87500    	    2164.438    	   0.0000000E+00
   -78.12500    	    20.62500    	    2164.562    	   8.5416667E-02
   -77.87500    	    20.62500    	    2164.562    	   1.3888889E-02
   -78.12500    	    20.87500    	    2164.562    	   0.0000000E+00
   -77.87500    	    20.87500    	    2164.562    	   0.0000000E+00
