X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -83.37500    	    14.87500    	    2865.062    	   0.1270833    
   -83.12500    	    14.87500    	    2865.062    	   0.3333334    
   -83.37500    	    15.12500    	    2865.062    	    1.466667    
   -83.12500    	    15.12500    	    2865.062    	    2.507408    
   -83.37500    	    14.87500    	    2865.188    	    7.150001    
   -83.12500    	    14.87500    	    2865.188    	    9.902775    
   -83.37500    	    15.12500    	    2865.188    	    11.77778    
   -83.12500    	    15.12500    	    2865.188    	    13.01111    
   -83.37500    	    14.87500    	    2865.312    	    12.81874    
   -83.12500    	    14.87500    	    2865.312    	    14.46944    
   -83.37500    	    15.12500    	    2865.312    	    13.83055    
   -83.12500    	    15.12500    	    2865.312    	    16.42222    
   -83.37500    	    14.87500    	    2865.438    	    14.68125    
   -83.12500    	    14.87500    	    2865.438    	    9.252781    
   -83.37500    	    15.12500    	    2865.438    	    16.68610    
   -83.12500    	    15.12500    	    2865.438    	    12.50741    
   -83.37500    	    14.87500    	    2865.562    	    3.539584    
   -83.12500    	    14.87500    	    2865.562    	    1.986111    
   -83.37500    	    15.12500    	    2865.562    	    8.727777    
   -83.12500    	    15.12500    	    2865.562    	    4.707407    
   -83.37500    	    14.87500    	    2865.688    	   0.8166665    
   -83.12500    	    14.87500    	    2865.688    	   0.6555555    
   -83.37500    	    15.12500    	    2865.688    	    1.869445    
   -83.12500    	    15.12500    	    2865.688    	    1.437037    
   -83.37500    	    14.87500    	    2865.812    	   8.1250004E-02
   -83.12500    	    14.87500    	    2865.812    	   1.6666668E-02
   -83.37500    	    15.12500    	    2865.812    	   0.2138889    
   -83.12500    	    15.12500    	    2865.812    	   1.8518519E-02
   -83.37500    	    14.87500    	    2865.938    	   0.0000000E+00
   -83.12500    	    14.87500    	    2865.938    	   0.0000000E+00
   -83.37500    	    15.12500    	    2865.938    	   0.0000000E+00
   -83.12500    	    15.12500    	    2865.938    	   0.0000000E+00
   -83.37500    	    14.87500    	    2866.062    	   0.0000000E+00
   -83.12500    	    14.87500    	    2866.062    	   0.0000000E+00
   -83.37500    	    15.12500    	    2866.062    	   0.0000000E+00
   -83.12500    	    15.12500    	    2866.062    	   0.0000000E+00
