Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    22.62500    	    2868.188    	    3.141667    
    22.87500    	    2868.188    	    3.179166    
    22.62500    	    2868.312    	    6.211112    
    22.87500    	    2868.312    	    6.579168    
    22.62500    	    2868.438    	    8.736115    
    22.87500    	    2868.438    	    9.510417    
    22.62500    	    2868.562    	    1.444445    
    22.87500    	    2868.562    	    6.027083    
    22.62500    	    2868.688    	   0.1583333    
    22.87500    	    2868.688    	    4.168751    
    22.62500    	    2868.812    	   1.1111111E-02
    22.87500    	    2868.812    	   0.2812499    
    22.62500    	    2868.938    	   0.0000000E+00
    22.87500    	    2868.938    	   1.6666668E-02
    22.62500    	    2869.062    	   0.0000000E+00
    22.87500    	    2869.062    	   0.0000000E+00
    22.62500    	    2869.188    	   0.0000000E+00
    22.87500    	    2869.188    	   0.0000000E+00
