Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    22.12500    	    5439.438    	    6.794444    
    22.37500    	    5439.438    	    2.152083    
    22.12500    	    5439.562    	    12.55278    
    22.37500    	    5439.562    	    11.72292    
    22.12500    	    5439.688    	    5.227777    
    22.37500    	    5439.688    	    5.643749    
    22.12500    	    5439.812    	    9.308333    
    22.37500    	    5439.812    	    6.281250    
    22.12500    	    5439.938    	    4.838889    
    22.37500    	    5439.938    	    2.743750    
    22.12500    	    5440.062    	   0.0000000E+00
    22.37500    	    5440.062    	   0.0000000E+00
    22.12500    	    5440.188    	   0.0000000E+00
    22.37500    	    5440.188    	   0.0000000E+00
    22.12500    	    5440.312    	   0.0000000E+00
    22.37500    	    5440.312    	   0.0000000E+00
    22.12500    	    5440.438    	   0.0000000E+00
    22.37500    	    5440.438    	   0.0000000E+00
