X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -88.37500    	    17.12500    	    2878.562    	   0.3777777    
   -88.12500    	    17.12500    	    2878.562    	   0.6249999    
   -88.37500    	    17.37500    	    2878.562    	   7.4074077E-03
   -88.12500    	    17.37500    	    2878.562    	   0.2333333    
   -88.37500    	    17.12500    	    2878.688    	    6.722223    
   -88.12500    	    17.12500    	    2878.688    	    10.50278    
   -88.37500    	    17.37500    	    2878.688    	    5.133334    
   -88.12500    	    17.37500    	    2878.688    	    8.025926    
   -88.37500    	    17.12500    	    2878.812    	    3.558333    
   -88.12500    	    17.12500    	    2878.812    	    3.902776    
   -88.37500    	    17.37500    	    2878.812    	    4.181481    
   -88.12500    	    17.37500    	    2878.812    	    3.755555    
   -88.37500    	    17.12500    	    2878.938    	    3.266667    
   -88.12500    	    17.12500    	    2878.938    	    5.175001    
   -88.37500    	    17.37500    	    2878.938    	    3.437037    
   -88.12500    	    17.37500    	    2878.938    	    5.066666    
   -88.37500    	    17.12500    	    2879.062    	    7.261112    
   -88.12500    	    17.12500    	    2879.062    	    6.283333    
   -88.37500    	    17.37500    	    2879.062    	    8.266665    
   -88.12500    	    17.37500    	    2879.062    	    7.351852    
   -88.37500    	    17.12500    	    2879.188    	    2.530554    
   -88.12500    	    17.12500    	    2879.188    	    1.255555    
   -88.37500    	    17.37500    	    2879.188    	    2.951853    
   -88.12500    	    17.37500    	    2879.188    	    2.077778    
   -88.37500    	    17.12500    	    2879.312    	   8.6111099E-02
   -88.12500    	    17.12500    	    2879.312    	   0.2083333    
   -88.37500    	    17.37500    	    2879.312    	   0.4407409    
   -88.12500    	    17.37500    	    2879.312    	   0.9518520    
   -88.37500    	    17.12500    	    2879.438    	   0.0000000E+00
   -88.12500    	    17.12500    	    2879.438    	   0.0000000E+00
   -88.37500    	    17.37500    	    2879.438    	   0.0000000E+00
   -88.12500    	    17.37500    	    2879.438    	   0.0000000E+00
   -88.37500    	    17.12500    	    2879.562    	   0.0000000E+00
   -88.12500    	    17.12500    	    2879.562    	   8.3333338E-03
   -88.37500    	    17.37500    	    2879.562    	   0.0000000E+00
   -88.12500    	    17.37500    	    2879.562    	   0.0000000E+00
