X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -87.37500    	    20.37500    	    3246.562    	    1.222222    
   -87.12500    	    20.37500    	    3246.562    	   0.4074075    
   -87.37500    	    20.62500    	    3246.562    	   0.9250006    
   -87.12500    	    20.62500    	    3246.562    	   0.4472223    
   -87.37500    	    20.37500    	    3246.688    	   0.0000000E+00
   -87.12500    	    20.37500    	    3246.688    	   8.1481487E-02
   -87.37500    	    20.62500    	    3246.688    	   0.0000000E+00
   -87.12500    	    20.62500    	    3246.688    	   2.7777778E-03
   -87.37500    	    20.37500    	    3246.812    	   0.2055556    
   -87.12500    	    20.37500    	    3246.812    	   0.6703703    
   -87.37500    	    20.62500    	    3246.812    	   4.1666669E-03
   -87.12500    	    20.62500    	    3246.812    	   0.5166667    
   -87.37500    	    20.37500    	    3246.938    	    2.361112    
   -87.12500    	    20.37500    	    3246.938    	    4.900001    
   -87.37500    	    20.62500    	    3246.938    	   0.2354167    
   -87.12500    	    20.62500    	    3246.938    	    1.683333    
   -87.37500    	    20.37500    	    3247.062    	    2.002778    
   -87.12500    	    20.37500    	    3247.062    	    1.381481    
   -87.37500    	    20.62500    	    3247.062    	    3.004167    
   -87.12500    	    20.62500    	    3247.062    	    8.555554    
   -87.37500    	    20.37500    	    3247.188    	   0.0000000E+00
   -87.12500    	    20.37500    	    3247.188    	   0.0000000E+00
   -87.37500    	    20.62500    	    3247.188    	    1.285416    
   -87.12500    	    20.62500    	    3247.188    	    1.394445    
   -87.37500    	    20.37500    	    3247.312    	   0.0000000E+00
   -87.12500    	    20.37500    	    3247.312    	   0.0000000E+00
   -87.37500    	    20.62500    	    3247.312    	   0.0000000E+00
   -87.12500    	    20.62500    	    3247.312    	   0.0000000E+00
   -87.37500    	    20.37500    	    3247.438    	   0.0000000E+00
   -87.12500    	    20.37500    	    3247.438    	   0.0000000E+00
   -87.37500    	    20.62500    	    3247.438    	   0.0000000E+00
   -87.12500    	    20.62500    	    3247.438    	   0.0000000E+00
   -87.37500    	    20.37500    	    3247.562    	   0.0000000E+00
   -87.12500    	    20.37500    	    3247.562    	   0.0000000E+00
   -87.37500    	    20.62500    	    3247.562    	   0.0000000E+00
   -87.12500    	    20.62500    	    3247.562    	   0.0000000E+00
