X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -93.87500    	    29.62500    	    1021.812    	    4.748147    
   -93.62500    	    29.62500    	    1021.812    	    5.408332    
   -93.87500    	    29.87500    	    1021.812    	    4.500000    
   -93.62500    	    29.87500    	    1021.812    	    5.516666    
   -93.87500    	    29.62500    	    1021.938    	    5.107409    
   -93.62500    	    29.62500    	    1021.938    	    4.977777    
   -93.87500    	    29.87500    	    1021.938    	    6.522220    
   -93.62500    	    29.87500    	    1021.938    	    6.133332    
   -93.87500    	    29.62500    	    1022.062    	    12.45185    
   -93.62500    	    29.62500    	    1022.062    	    11.74445    
   -93.87500    	    29.87500    	    1022.062    	    14.91945    
   -93.62500    	    29.87500    	    1022.062    	    16.67083    
   -93.87500    	    29.62500    	    1022.188    	    4.196296    
   -93.62500    	    29.62500    	    1022.188    	    4.230556    
   -93.87500    	    29.87500    	    1022.188    	    10.89167    
   -93.62500    	    29.87500    	    1022.188    	    11.67708    
   -93.87500    	    29.62500    	    1022.312    	   0.3703703    
   -93.62500    	    29.62500    	    1022.312    	   0.6861112    
   -93.87500    	    29.87500    	    1022.312    	    4.225000    
   -93.62500    	    29.87500    	    1022.312    	    5.008333    
   -93.87500    	    29.62500    	    1022.438    	   0.0000000E+00
   -93.62500    	    29.62500    	    1022.438    	   1.1111111E-02
   -93.87500    	    29.87500    	    1022.438    	   0.3388889    
   -93.62500    	    29.87500    	    1022.438    	   0.1958333    
   -93.87500    	    29.62500    	    1022.562    	   0.0000000E+00
   -93.62500    	    29.62500    	    1022.562    	   1.3888889E-02
   -93.87500    	    29.87500    	    1022.562    	   0.0000000E+00
   -93.62500    	    29.87500    	    1022.562    	   0.0000000E+00
   -93.87500    	    29.62500    	    1022.688    	   0.0000000E+00
   -93.62500    	    29.62500    	    1022.688    	   0.0000000E+00
   -93.87500    	    29.87500    	    1022.688    	   0.0000000E+00
   -93.62500    	    29.87500    	    1022.688    	   0.0000000E+00
   -93.87500    	    29.62500    	    1022.812    	   0.0000000E+00
   -93.62500    	    29.62500    	    1022.812    	   0.0000000E+00
   -93.87500    	    29.87500    	    1022.812    	   0.0000000E+00
   -93.62500    	    29.87500    	    1022.812    	   0.0000000E+00
