X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -76.12500    	    19.87500    	    3609.688    	   0.7407407    
   -75.87500    	    19.87500    	    3609.688    	   0.9277778    
   -76.12500    	    20.12500    	    3609.688    	   0.7777782    
   -75.87500    	    20.12500    	    3609.688    	    1.404166    
   -76.12500    	    19.87500    	    3609.812    	   0.6999999    
   -75.87500    	    19.87500    	    3609.812    	   0.8500000    
   -76.12500    	    20.12500    	    3609.812    	   0.5666668    
   -75.87500    	    20.12500    	    3609.812    	   0.7895832    
   -76.12500    	    19.87500    	    3609.938    	    2.111111    
   -75.87500    	    19.87500    	    3609.938    	    2.233333    
   -76.12500    	    20.12500    	    3609.938    	    1.505555    
   -75.87500    	    20.12500    	    3609.938    	    2.137501    
   -76.12500    	    19.87500    	    3610.062    	    11.06667    
   -75.87500    	    19.87500    	    3610.062    	    9.325001    
   -76.12500    	    20.12500    	    3610.062    	    13.52222    
   -75.87500    	    20.12500    	    3610.062    	    8.206248    
   -76.12500    	    19.87500    	    3610.188    	    3.188888    
   -75.87500    	    19.87500    	    3610.188    	    7.927777    
   -76.12500    	    20.12500    	    3610.188    	    27.68334    
   -75.87500    	    20.12500    	    3610.188    	    21.38542    
   -76.12500    	    19.87500    	    3610.312    	    1.100000    
   -75.87500    	    19.87500    	    3610.312    	    2.927777    
   -76.12500    	    20.12500    	    3610.312    	    5.425001    
   -75.87500    	    20.12500    	    3610.312    	    15.03959    
   -76.12500    	    19.87500    	    3610.438    	   0.1481481    
   -75.87500    	    19.87500    	    3610.438    	   9.9999987E-02
   -76.12500    	    20.12500    	    3610.438    	   0.6166667    
   -75.87500    	    20.12500    	    3610.438    	    1.120834    
   -76.12500    	    19.87500    	    3610.562    	   0.0000000E+00
   -75.87500    	    19.87500    	    3610.562    	   0.0000000E+00
   -76.12500    	    20.12500    	    3610.562    	   0.0000000E+00
   -75.87500    	    20.12500    	    3610.562    	   0.0000000E+00
   -76.12500    	    19.87500    	    3610.688    	   1.4814815E-02
   -75.87500    	    19.87500    	    3610.688    	   8.3333338E-03
   -76.12500    	    20.12500    	    3610.688    	   0.0000000E+00
   -75.87500    	    20.12500    	    3610.688    	   0.0000000E+00
