X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -84.62500    	    15.62500    	    2139.062    	   0.3333335    
   -84.37500    	    15.62500    	    2139.062    	   0.6027777    
   -84.62500    	    15.87500    	    2139.062    	   0.2527778    
   -84.37500    	    15.87500    	    2139.062    	   0.5518519    
   -84.62500    	    15.62500    	    2139.188    	   0.3958333    
   -84.37500    	    15.62500    	    2139.188    	   0.3527778    
   -84.62500    	    15.87500    	    2139.188    	    1.402778    
   -84.37500    	    15.87500    	    2139.188    	    2.792593    
   -84.62500    	    15.62500    	    2139.312    	   0.7104167    
   -84.37500    	    15.62500    	    2139.312    	    1.519444    
   -84.62500    	    15.87500    	    2139.312    	   0.8583336    
   -84.37500    	    15.87500    	    2139.312    	    3.718519    
   -84.62500    	    15.62500    	    2139.438    	    4.727084    
   -84.37500    	    15.62500    	    2139.438    	    3.911112    
   -84.62500    	    15.87500    	    2139.438    	    1.869445    
   -84.37500    	    15.87500    	    2139.438    	    1.937037    
   -84.62500    	    15.62500    	    2139.562    	    1.468750    
   -84.37500    	    15.62500    	    2139.562    	   0.1555556    
   -84.62500    	    15.87500    	    2139.562    	   0.5583333    
   -84.37500    	    15.87500    	    2139.562    	   0.2444444    
   -84.62500    	    15.62500    	    2139.688    	   0.0000000E+00
   -84.37500    	    15.62500    	    2139.688    	   1.1111111E-02
   -84.62500    	    15.87500    	    2139.688    	   0.0000000E+00
   -84.37500    	    15.87500    	    2139.688    	   0.0000000E+00
   -84.62500    	    15.62500    	    2139.812    	   4.1666669E-03
   -84.37500    	    15.62500    	    2139.812    	   1.9444445E-02
   -84.62500    	    15.87500    	    2139.812    	   0.0000000E+00
   -84.37500    	    15.87500    	    2139.812    	   0.0000000E+00
   -84.62500    	    15.62500    	    2139.938    	   2.5000004E-02
   -84.37500    	    15.62500    	    2139.938    	   6.6666663E-02
   -84.62500    	    15.87500    	    2139.938    	   1.1111111E-02
   -84.37500    	    15.87500    	    2139.938    	   0.1592592    
   -84.62500    	    15.62500    	    2140.062    	   0.0000000E+00
   -84.37500    	    15.62500    	    2140.062    	   0.0000000E+00
   -84.62500    	    15.87500    	    2140.062    	   0.0000000E+00
   -84.37500    	    15.87500    	    2140.062    	   9.6296303E-02
