X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -87.62500    	    1029.938    	   0.0000000E+00
   -87.37500    	    1029.938    	   1.8750003E-02
   -87.62500    	    1030.062    	   3.3333335E-02
   -87.37500    	    1030.062    	   0.1437500    
   -87.62500    	    1030.188    	    2.041667    
   -87.37500    	    1030.188    	    1.666667    
   -87.62500    	    1030.312    	    3.541666    
   -87.37500    	    1030.312    	   0.8583332    
   -87.62500    	    1030.438    	    2.088889    
   -87.37500    	    1030.438    	    1.160417    
   -87.62500    	    1030.562    	   3.6111113E-02
   -87.37500    	    1030.562    	   2.9166669E-02
   -87.62500    	    1030.688    	   2.7777778E-03
   -87.37500    	    1030.688    	   0.0000000E+00
   -87.62500    	    1030.812    	   0.0000000E+00
   -87.37500    	    1030.812    	   0.0000000E+00
   -87.62500    	    1030.938    	   0.0000000E+00
   -87.37500    	    1030.938    	   1.0416667E-02
