X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -86.87500    	    1749.562    	   0.0000000E+00
   -86.62500    	    1749.562    	   0.0000000E+00
   -86.87500    	    1749.688    	   0.0000000E+00
   -86.62500    	    1749.688    	   4.1666672E-02
   -86.87500    	    1749.812    	   8.7499984E-02
   -86.62500    	    1749.812    	   8.6111106E-02
   -86.87500    	    1749.938    	   0.1479167    
   -86.62500    	    1749.938    	    1.344445    
   -86.87500    	    1750.062    	   0.6750001    
   -86.62500    	    1750.062    	   0.1416667    
   -86.87500    	    1750.188    	   0.7791666    
   -86.62500    	    1750.188    	   0.4361111    
   -86.87500    	    1750.312    	    2.022916    
   -86.62500    	    1750.312    	   0.8305556    
   -86.87500    	    1750.438    	   8.3333336E-02
   -86.62500    	    1750.438    	   6.9444448E-02
   -86.87500    	    1750.562    	   0.0000000E+00
   -86.62500    	    1750.562    	   0.0000000E+00
