X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -59.62500    	    12.87500    	    2883.938    	    2.151852    
   -59.37500    	    12.87500    	    2883.938    	    2.763889    
   -59.62500    	    13.12500    	    2883.938    	    1.911112    
   -59.37500    	    13.12500    	    2883.938    	    2.970834    
   -59.62500    	    12.87500    	    2884.062    	    6.244442    
   -59.37500    	    12.87500    	    2884.062    	    7.513890    
   -59.62500    	    13.12500    	    2884.062    	    4.152778    
   -59.37500    	    13.12500    	    2884.062    	    6.047918    
   -59.62500    	    12.87500    	    2884.188    	    8.837038    
   -59.37500    	    12.87500    	    2884.188    	    7.175001    
   -59.62500    	    13.12500    	    2884.188    	    8.611111    
   -59.37500    	    13.12500    	    2884.188    	    7.222918    
   -59.62500    	    12.87500    	    2884.312    	    1.907408    
   -59.37500    	    12.87500    	    2884.312    	    2.597222    
   -59.62500    	    13.12500    	    2884.312    	    2.822223    
   -59.37500    	    13.12500    	    2884.312    	    3.383333    
   -59.62500    	    12.87500    	    2884.438    	    3.166667    
   -59.37500    	    12.87500    	    2884.438    	    5.036111    
   -59.62500    	    13.12500    	    2884.438    	    5.172223    
   -59.37500    	    13.12500    	    2884.438    	    8.135415    
   -59.62500    	    12.87500    	    2884.562    	    3.740740    
   -59.37500    	    12.87500    	    2884.562    	    4.269445    
   -59.62500    	    13.12500    	    2884.562    	    6.472222    
   -59.37500    	    13.12500    	    2884.562    	    7.674999    
   -59.62500    	    12.87500    	    2884.688    	    2.522223    
   -59.37500    	    12.87500    	    2884.688    	    4.075000    
   -59.62500    	    13.12500    	    2884.688    	    4.311111    
   -59.37500    	    13.12500    	    2884.688    	    7.808332    
   -59.62500    	    12.87500    	    2884.812    	    3.962963    
   -59.37500    	    12.87500    	    2884.812    	    5.741667    
   -59.62500    	    13.12500    	    2884.812    	    3.988889    
   -59.37500    	    13.12500    	    2884.812    	    8.145834    
   -59.62500    	    12.87500    	    2884.938    	    5.825927    
   -59.37500    	    12.87500    	    2884.938    	    7.041667    
   -59.62500    	    13.12500    	    2884.938    	    6.083333    
   -59.37500    	    13.12500    	    2884.938    	    10.07291    
