X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -61.37500    	    2884.312    	   0.6555555    
   -61.12500    	    2884.312    	    1.277778    
   -61.37500    	    2884.438    	    2.666667    
   -61.12500    	    2884.438    	    3.391667    
   -61.37500    	    2884.562    	    4.648148    
   -61.12500    	    2884.562    	    6.150000    
   -61.37500    	    2884.688    	    5.533332    
   -61.12500    	    2884.688    	    3.511111    
   -61.37500    	    2884.812    	    6.118519    
   -61.12500    	    2884.812    	    6.055556    
   -61.37500    	    2884.938    	    4.225925    
   -61.12500    	    2884.938    	    3.419445    
   -61.37500    	    2885.062    	    3.248149    
   -61.12500    	    2885.062    	    3.125000    
   -61.37500    	    2885.188    	    1.822222    
   -61.12500    	    2885.188    	   0.9805558    
   -61.37500    	    2885.312    	    1.881482    
   -61.12500    	    2885.312    	    2.311111    
