Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    21.62500    	    2890.812    	   0.0000000E+00
    21.87500    	    2890.812    	   0.0000000E+00
    21.62500    	    2890.938    	   0.0000000E+00
    21.87500    	    2890.938    	   0.0000000E+00
    21.62500    	    2891.062    	   0.8111113    
    21.87500    	    2891.062    	   0.9805555    
    21.62500    	    2891.188    	    2.455555    
    21.87500    	    2891.188    	    4.122222    
    21.62500    	    2891.312    	    3.322223    
    21.87500    	    2891.312    	    6.075000    
    21.62500    	    2891.438    	    1.500000    
    21.87500    	    2891.438    	    5.300000    
    21.62500    	    2891.562    	   0.4814815    
    21.87500    	    2891.562    	    3.513889    
    21.62500    	    2891.688    	   0.1333333    
    21.87500    	    2891.688    	    1.036111    
    21.62500    	    2891.812    	   0.0000000E+00
    21.87500    	    2891.812    	   0.0000000E+00
