X	Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	degree_north	days since 2002-12-07 00:00:00	mm/hr
   -81.37500    	    31.37500    	    230.8125    	    1.911111    
   -81.12500    	    31.37500    	    230.8125    	    1.058333    
   -81.37500    	    31.62500    	    230.8125    	    1.672222    
   -81.12500    	    31.62500    	    230.8125    	    3.220834    
   -81.37500    	    31.37500    	    230.9375    	   0.3074074    
   -81.12500    	    31.37500    	    230.9375    	   0.1555555    
   -81.37500    	    31.62500    	    230.9375    	   0.4305557    
   -81.12500    	    31.62500    	    230.9375    	   0.4145835    
   -81.37500    	    31.37500    	    231.0625    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.0625    	   0.8611112    
   -81.37500    	    31.62500    	    231.0625    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.0625    	   0.8833334    
   -81.37500    	    31.37500    	    231.1875    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.1875    	   0.8111112    
   -81.37500    	    31.62500    	    231.1875    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.1875    	    2.041667    
   -81.37500    	    31.37500    	    231.3125    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.3125    	   0.0000000E+00
   -81.37500    	    31.62500    	    231.3125    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.3125    	   8.5416667E-02
   -81.37500    	    31.37500    	    231.4375    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.4375    	   0.0000000E+00
   -81.37500    	    31.62500    	    231.4375    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.4375    	   0.0000000E+00
   -81.37500    	    31.37500    	    231.5625    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.5625    	   0.0000000E+00
   -81.37500    	    31.62500    	    231.5625    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.5625    	   0.0000000E+00
   -81.37500    	    31.37500    	    231.6875    	   0.0000000E+00
   -81.12500    	    31.37500    	    231.6875    	   0.0000000E+00
   -81.37500    	    31.62500    	    231.6875    	   0.0000000E+00
   -81.12500    	    31.62500    	    231.6875    	   3.7500005E-02
   -81.37500    	    31.37500    	    231.8125    	   7.0370384E-02
   -81.12500    	    31.37500    	    231.8125    	   0.1750000    
   -81.37500    	    31.62500    	    231.8125    	   0.3000000    
   -81.12500    	    31.62500    	    231.8125    	   0.6854170    
