Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    37.12500    	    1038.938    	   5.8333337E-02
    37.37500    	    1038.938    	   0.0000000E+00
    37.12500    	    1039.062    	   0.0000000E+00
    37.37500    	    1039.062    	   0.0000000E+00
    37.12500    	    1039.188    	   0.1222222    
    37.37500    	    1039.188    	   0.0000000E+00
    37.12500    	    1039.312    	    1.108333    
    37.37500    	    1039.312    	   0.5458333    
    37.12500    	    1039.438    	   0.0000000E+00
    37.37500    	    1039.438    	   0.0000000E+00
    37.12500    	    1039.562    	   0.0000000E+00
    37.37500    	    1039.562    	   0.0000000E+00
    37.12500    	    1039.688    	   0.0000000E+00
    37.37500    	    1039.688    	   0.0000000E+00
    37.12500    	    1039.812    	   0.0000000E+00
    37.37500    	    1039.812    	   0.0000000E+00
    37.12500    	    1039.938    	   0.0000000E+00
    37.37500    	    1039.938    	   0.0000000E+00
