Y	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_north	days since 2002-12-07 00:00:00	mm/hr
    20.62500    	    1049.688    	    5.364582    
    20.87500    	    1049.688    	    9.383336    
    20.62500    	    1049.812    	    3.183333    
    20.87500    	    1049.812    	    6.788889    
    20.62500    	    1049.938    	    1.495833    
    20.87500    	    1049.938    	    4.733335    
    20.62500    	    1050.062    	    2.968750    
    20.87500    	    1050.062    	    4.233334    
    20.62500    	    1050.188    	    3.802084    
    20.87500    	    1050.188    	    4.980555    
    20.62500    	    1050.312    	    3.872915    
    20.87500    	    1050.312    	    4.650000    
    20.62500    	    1050.438    	    2.412500    
    20.87500    	    1050.438    	    4.641667    
    20.62500    	    1050.562    	    3.320833    
    20.87500    	    1050.562    	    7.436110    
    20.62500    	    1050.688    	    1.852083    
    20.87500    	    1050.688    	    3.016667    
