X	T	NOAA NCEP CPC CMORPH 3-hourly mean morphed cmorph
degree_east	days since 2002-12-07 00:00:00	mm/hr
   -81.87500    	    1051.938    	   3.6111113E-02
   -81.62500    	    1051.938    	   0.0000000E+00
   -81.87500    	    1052.062    	   0.2861111    
   -81.62500    	    1052.062    	   0.2708334    
   -81.87500    	    1052.188    	    4.316666    
   -81.62500    	    1052.188    	    1.956250    
   -81.87500    	    1052.312    	    6.413888    
   -81.62500    	    1052.312    	    5.747913    
   -81.87500    	    1052.438    	    3.830555    
   -81.62500    	    1052.438    	    1.929167    
   -81.87500    	    1052.562    	    4.280555    
   -81.62500    	    1052.562    	    2.777083    
   -81.87500    	    1052.688    	   0.0000000E+00
   -81.62500    	    1052.688    	   0.0000000E+00
   -81.87500    	    1052.812    	   0.0000000E+00
   -81.62500    	    1052.812    	   0.0000000E+00
   -81.87500    	    1052.938    	   0.0000000E+00
   -81.62500    	    1052.938    	   0.0000000E+00
