"","date","hours","id","status","lat","lon","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","h_name"
"1","19800717","0000","","TD","30.5N","76.5W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"2","19800717","0600","","TD","30.2N","77.2W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"3","19800717","1200","","TD","30.0N","78.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"4","19800717","1800","","TD","29.9N","79.3W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"5","19800718","0000","","TD","29.8N","80.2W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"6","19800718","0600","","TD","29.5N","81.1W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"7","19800718","1200","","TD","29.5N","82.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"8","19800718","1800","","TD","29.4N","83.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"9","19800719","0000","","TD","29.4N","84.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"10","19800719","0600","","TD","29.5N","84.7W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"11","19800719","1200","","TD","29.6N","85.8W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"12","19800719","1800","","TD","29.7N","86.4W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"13","19800720","0000","","TD","29.8N","87.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"14","19800720","0600","","TD","29.9N","87.8W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"15","19800720","1200","","TD","30.0N","88.5W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"16","19800720","1800","","TD","30.4N","89.2W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"17","19800721","0000","","TD","30.8N","90.0W","-99","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"18","19800717","1200","","TD","25.0N","90.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"19","19800717","1800","","TD","25.2N","90.4W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"20","19800718","0000","","TD","25.4N","90.9W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"21","19800718","0600","","TD","25.7N","91.2W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"22","19800718","1200","","TD","26.0N","91.8W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"23","19800718","1800","","TD","26.2N","92.1W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"24","19800719","0000","","TD","26.4N","92.7W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"25","19800719","0600","","TD","26.8N","93.0W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"26","19800719","1200","","TD","27.0N","93.5W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"27","19800719","1800","","TD","27.4N","94.0W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"28","19800720","0000","","TD","27.8N","94.5W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"29","19800720","0600","","TD","28.0N","94.9W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"30","19800720","1200","","TD","28.5N","95.2W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
