"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","name_lower"
"1",1,"ALBERTO","AL011994","1994-07-03 15:00:00","30.4N","86.5W",0,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1994","alberto"
"2",2,"ALBERTO","AL012006","2006-06-13 16:00:00","29.9N","83.7W",0,40,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2006","alberto"
"3",3,"ALBERTO","AL012018","2018-05-28 21:00:00","30.3N","86.0W",80,40,992,80,60,60,0,0,0,0,0,0,0,0,0,"2018","alberto"
"4",4,"ALEX","AL012010","2010-06-27 00:00:00","17.5N","88.2W",90,55,995,90,75,30,0,0,15,0,0,0,0,0,518.997,"2010","alex"
"5",5,"ALEX","AL012010","2010-07-01 02:00:00","24.2N","97.7W",180,95,946,180,180,120,90,90,60,50,50,50,50,15,0,"2010","alex"
"6",6,"ALEX","AL012016","2016-01-15 13:00:00","38.7N","27.1W",400,55,986,400,300,150,180,180,30,40,0,0,0,0,0,"2016","alex"
"7",7,"ALICIA","AL031983","1983-08-18 07:00:00","29.1N","95.1W",0,100,962,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1983","alicia"
"8",8,"ALLISON","AL011995","1995-06-05 14:00:00","29.9N","84.4W",0,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995","allison"
"9",9,"ALLISON","AL011995","1995-06-05 15:00:00","30.1N","84.2W",0,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995","allison"
"10",10,"ALLISON","AL012001","2001-06-05 21:00:00","28.9N","95.3W",0,45,1003,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001","allison"
