"","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall"
"1","ALBERTO","AL011982",1982-06-02,"21.7N","86.5W",0,25,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-2
"2","ALBERTO","AL011982",1982-06-03,"22.6N","83.6W",0,75,985,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"3","ALBERTO","AL011982",1982-06-04,"24.8N","83.4W",0,65,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"4","ALBERTO","AL011982",1982-06-05,"25.1N","83.6W",0,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"5","ALBERTO","AL011982",1982-06-06,"25.5N","82.6W",0,25,1010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3
"6","ALBERTO","AL011988",1988-08-05,"32.0N","77.5W",0,20,1015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-1
"7","ALBERTO","AL011988",1988-08-06,"32.8N","73.5W",0,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"8","ALBERTO","AL011988",1988-08-07,"38.7N","67.5W",0,35,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"9","ALBERTO","AL011988",1988-08-08,"45.0N","56.0W",0,35,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"10","ALBERTO","AL011994",1994-06-30,"21.6N","83.6W",0,30,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-3
"11","ALBERTO","AL011994",1994-07-01,"21.5N","85.6W",0,30,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"12","ALBERTO","AL011994",1994-07-02,"23.7N","86.9W",0,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
"13","ALBERTO","AL011994",1994-07-03,"27.7N","86.3W",0,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-5
"14","ALBERTO","AL011994",1994-07-04,"31.2N","85.2W",0,25,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-4
